[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Floor_Modular.005
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -2.000000 Y 0.000000 Z 0.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Floor_Modular.006
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -2.000000 Y 0.000000 Z 2.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Floor_Modular.007
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Floor_Modular.008
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 2.000000 Y 0.000000 Z 2.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 0.000000 Y 0.990600 Z -3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.001
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 2.000000 Y 0.990600 Z -3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.002
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -2.000000 Y 0.990600 Z -3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.003
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -3.000000 Y 0.990600 Z -2.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.004
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -3.000000 Y 0.990600 Z 0.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.005
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -3.000000 Y 0.990600 Z 2.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.006
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X -2.000000 Y 0.990600 Z 3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.007
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 0.000000 Y 0.990600 Z 3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.008
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 2.000000 Y 0.990600 Z 3.000000
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.009
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Location: X 3.000000 Y 0.990600 Z 2.214800
[Wed Aug 16 18:18:26 2023] ThreadID[9304]	[INFO]	Model Detected: Wall_Modular.010
